"","year","plan_name","state","return_1yr","aal","mva","arr","payroll","payroll_growth_assumption","total_nc_pct","total_proj_adec_pct","refunds","benefit_payments","total_benefits"
"14",2014,"Alabama Employees' Retirement System (ERS)*","Alabama",0.1202,15138294000,10883952000,0.08,3444341000,0.0325,0.0998,0.1941,0,930223380,-930223380
"15",2015,"Alabama Employees' Retirement System (ERS)*","Alabama",0.0105,15723720000,10551904000,0.08,3488017000,0.0325,0.0993,0.1914,0,966982560,-966982560
"16",2016,"Alabama Employees' Retirement System (ERS)*","Alabama",0.1022,16728009000,11177074000,0.07875,3572891000,0.03125,0.0961,0.1925,0,1008381100,-1008381100
"17",2017,"Alabama Employees' Retirement System (ERS)*","Alabama",0.1286,17250835000,12122471000,0.0775,3584700000,0.03,0.0965,0.1845,0,1041042300,-1041042300
"18",2018,"Alabama Employees' Retirement System (ERS)*","Alabama",0.0929,17829735000,12720352000,0.077,3679181000,0.03,NA,NA,NA,1084915300,NA
"19",2019,"Alabama Employees' Retirement System (ERS)*","Alabama",0.0611254700854701,18469344263.4331,13113555241.5287,0.077,3789556430,0.03,0.0965,0.1845,NA,NA,-1072273569
"20",2001,"Alabama Teachers' Retirement System (TRS)*","Alabama",-0.0605,17238616000,15814533000,0.08,4305080000,0.045,0.1078,0.1052,0,818744630,-818744630
"21",2002,"Alabama Teachers' Retirement System (TRS)*","Alabama",-0.0781,18374174000,14167952000,0.08,4379183000,0.045,0.1091,0.1254,0,886969000,-886969000
"22",2003,"Alabama Teachers' Retirement System (TRS)*","Alabama",0.1598,19357735000,15685620000,0.08,4632611000,0.045,0.1092,0.1444,0,1027877000,-1027877000
"23",2004,"Alabama Teachers' Retirement System (TRS)*","Alabama",0.1071,20886190000,16853149000,0.08,4846677000,0.045,0.1086,0.1436,0,1144626800,-1144626800
"24",2005,"Alabama Teachers' Retirement System (TRS)*","Alabama",0.1126,23027338000,18168523000,0.08,5326408000,0.045,0.1076,0.1606,0,1210649100,-1210649100
"25",2006,"Alabama Teachers' Retirement System (TRS)*","Alabama",0.0882,23945100000,19207803000,0.08,5458443000,0.045,0.1145,0.1707,0,1399366600,-1399366600
"26",2007,"Alabama Teachers' Retirement System (TRS)*","Alabama",0.1746,25971534000,21918750000,0.08,6310616000,0.045,0.1128,0.1751,0,1465133300,-1465133300
"27",2008,"Alabama Teachers' Retirement System (TRS)*","Alabama",-0.1536,26804117000,18100387000,0.08,6294341000,0.045,0.1139,0.1838,0,1531056000,-1531056000
"28",2009,"Alabama Teachers' Retirement System (TRS)*","Alabama",-0.0794,27537400000,16120988000,0.08,6236922000,0.045,0.1142,0.1775,0,1601275600,-1601275600
"29",2010,"Alabama Teachers' Retirement System (TRS)*","Alabama",0.0842,28299523000,17037673000,0.08,6183204000,0.045,0.0894,0.1616,0,1679430900,-1679430900
"30",2011,"Alabama Teachers' Retirement System (TRS)*","Alabama",0.0181,28776316000,16752218000,0.08,6159562000,0.0325,0.0938,0.1896,0,1760247300,-1760247300
"31",2012,"Alabama Teachers' Retirement System (TRS)*","Alabama",0.183,28251367000,18950126000,0.08,6222316000,0.0325,0.0903,0.1921,0,1818998900,-1818998900
"32",2013,"Alabama Teachers' Retirement System (TRS)*","Alabama",0.1493,29665843000,20820372000,0.08,6263364000,0.0325,0.0923,0.1933,0,1871441400,-1871441400
"33",2014,"Alabama Teachers' Retirement System (TRS)*","Alabama",0.1213,30837829000,22441307000,0.08,6335161000,0.0325,0.09277,0.19287,0,1927711900,-1927711900
"34",2015,"Alabama Teachers' Retirement System (TRS)*","Alabama",0.0104,31844843000,21747731000,0.08,6350786000,0.0325,0.09585,0.19395,0,1991149800,-1991149800
"35",2016,"Alabama Teachers' Retirement System (TRS)*","Alabama",0.1041,33143834000,22936298000,0.07875,6430999000,0.03125,0.09275,0.19485,0,2053762300,-2053762300
"36",2017,"Alabama Teachers' Retirement System (TRS)*","Alabama",0.1177,34688078000,24651457000,0.0775,6698835000,0.03,0.09255,0.19405,0,2118982500,-2118982500
"37",2018,"Alabama Teachers' Retirement System (TRS)*","Alabama",0.0942,35628398000,25935433000,0.077,6756474000,0.03,0.09866,0.19221,NA,2191704800,NA
"38",2019,"Alabama Teachers' Retirement System (TRS)*","Alabama",0.0611254700854701,36819297689.1896,26650377901.0499,0.077,6959168220,0.03,0.09866,0.19221,NA,NA,-2182551975
"39",2001,"Alaska Public Employees Retirement System (PERS)*","Alaska",-0.0525,5528026000,5796189000,0.0825,1208700000,0,0.11424,0.17708,-9339000,268325720,-277664720
"40",2002,"Alaska Public Employees Retirement System (PERS)*","Alaska",-0.0548,6133182000,5323757000,0.0825,1245054000,0,0.11846,0.31742,-9150000,293137030,-302287030
"41",2003,"Alaska Public Employees Retirement System (PERS)*","Alaska",0.0367,6330541000,5318390000,0.0825,1300041000,0,0.1137,0.31641,-9165000,318487690,-327652690
"42",2004,"Alaska Public Employees Retirement System (PERS)*","Alaska",0.1508,6711507000,5880443000,0.0825,1305670000,0,0.11202,0.34998,-10344000,344780340,-355124340
"43",2005,"Alaska Public Employees Retirement System (PERS)*","Alaska",0.0895,7087191000,6122064000,0.0825,1404043000,0.0425,0.11418,0.39352,-10318000,371908720,-382226720
"44",2006,"Alaska Public Employees Retirement System (PERS)*","Alaska",0.1174,8094043000,6568150000,0.0825,1590693000,0.04,0.1066,0.17746,-8429000,400262660,-408691660
"45",2007,"Alaska Public Employees Retirement System (PERS)*","Alaska",0.1888,8662324000,7439387000,0.0825,1605819000,0.04,0.0997,0.17801,-8575000,428296160,-436871160
"46",2008,"Alaska Public Employees Retirement System (PERS)*","Alaska",-0.0306,9154282000,6935808000,0.0825,1577846000,0.04,0.0995,0.18261,-14333000,454571810,-468904810
"47",2009,"Alaska Public Employees Retirement System (PERS)*","Alaska",-0.2049,9702086000,5090440000,0.0825,1585490000,0.04,0.0999,0.24602,-12498000,482989630,-495487630
"48",2010,"Alaska Public Employees Retirement System (PERS)*","Alaska",0.1139,10371672000,5391527000,0.08,1586697000,0.0362,0.1022,0.26652,-12364000,511936310,-524300310
"49",2011,"Alaska Public Employees Retirement System (PERS)*","Alaska",0.2122,10919047000,6267925000,0.08,1559938000,0.0362,0.1073,0.29206,-11923000,545647880,-557570880
"50",2012,"Alaska Public Employees Retirement System (PERS)*","Alaska",0.0046,11428944000,6118294000,0.08,1522399000,0.0362,0.1065,0.40226,-10906000,583928380,-594834380
"51",2013,"Alaska Public Employees Retirement System (PERS)*","Alaska",0.125,11945881000,6694482000,0.08,1534665000,0.0362,0.1062,0.44986,-10929000,507107690,-518036690
"52",2014,"Alaska Public Employees Retirement System (PERS)*","Alaska",0.1856,12947759000,7731438000,0.08,1405198000,0.0362,0.1308,0.36312,-11399000,542842190,-554241190
"53",2015,"Alaska Public Employees Retirement System (PERS)*","Alaska",0.0329,13337929000,8606862000,0.08,1412237000,0.0362,0.1302,0.34476,-10049000,574752560,-584801560
"54",2016,"Alaska Public Employees Retirement System (PERS)*","Alaska",-0.0036,13633033000,8227687000,0.08,1322925000,0.0362,0.1478,0.38996,-10034000,611960810,-621994810
"55",2017,"Alaska Public Employees Retirement System (PERS)*","Alaska",0.1335,13832130000,8943127000,0.08,1247884000,0.0362,0.1473,0.41657,-10421000,648746130,-659167130
"56",2018,"Alaska Public Employees Retirement System (PERS)*","Alaska",0.0961,14606033000,9306675000,0.0738,1159599000,0.03,0.1495,0.49824,-11722000,822390940,-834112940
"57",2019,"Alaska Public Employees Retirement System (PERS)*","Alaska",0.064,14606033000,9489405000,0.0738,1049152000,NA,0.1495,0.49824,-10638000,822390940,-833028940
"58",2001,"Alaska Teachers Retirement System (TRS)*","Alaska",-0.0535,3651488000,3302567000,0.0825,496188000,0,0.13936,0.23189,-3058000,217271050,-220329050
"59",2002,"Alaska Teachers Retirement System (TRS)*","Alaska",-0.0549,3959958000,2983297000,0.0825,509437000,0,0.14829,0.44283,-2549000,237094550,-239643550
"60",2003,"Alaska Teachers Retirement System (TRS)*","Alaska",0.0368,4190970000,2917523000,0.0825,532630000,0,0.13897,0.4369,-3064000,255192610,-258256610
"61",2004,"Alaska Teachers Retirement System (TRS)*","Alaska",0.1509,4216480000,3164807000,0.0825,522421000,0,0.12676,1.00107,-3323000,267556310,-270879310
"62",2005,"Alaska Teachers Retirement System (TRS)*","Alaska",0.0901,4334585000,3239727000,0.0825,561038000,0.0425,0.12657,0.29763,-3202000,265746160,-268948160
"63",2006,"Alaska Teachers Retirement System (TRS)*","Alaska",0.1178,4859336000,3422923000,0.0825,574409000,0.04,0.1163,0.29235,-2752000,278528280,-281280280
"64",2007,"Alaska Teachers Retirement System (TRS)*","Alaska",0.1892,5043448000,3806494000,0.0825,554245000,0.04,0.1152,0.3071,-3123000,305031530,-308154530
"65",2008,"Alaska Teachers Retirement System (TRS)*","Alaska",-0.0305,5231654000,3550798000,0.0825,549148000,0.04,0.1151,0.31113,-3761000,318489840,-322250840
"66",2009,"Alaska Teachers Retirement System (TRS)*","Alaska",-0.2062,5463987000,2596433000,0.0825,557026000,0.04,0.1154,0.39669,-3622000,331135590,-334757590
"67",2010,"Alaska Teachers Retirement System (TRS)*","Alaska",0.1158,6006981000,2716557000,0.08,564887000,0.0362,0.1251,0.45747,-3472000,342621000,-346093000
"68",2011,"Alaska Teachers Retirement System (TRS)*","Alaska",0.214,6196104000,3123530000,0.08,584068000,0.0362,0.1218,0.48855,-2798000,360702630,-363500630
"69",2012,"Alaska Teachers Retirement System (TRS)*","Alaska",0.0051,6399777000,3006647000,0.08,561971000,0.0362,0.1247,0.68491,-2637000,378424750,-381061750
"70",2013,"Alaska Teachers Retirement System (TRS)*","Alaska",0.1259,6589533000,3279130000,0.08,550044000,0.0362,0.122,0.75889,-2668000,396159690,-398827690
"71",2014,"Alaska Teachers Retirement System (TRS)*","Alaska",0.1846,6921362000,3771139000,0.08,514035000,0.0362,0.1296,0.53346,-2387000,412835280,-415222280
"72",2015,"Alaska Teachers Retirement System (TRS)*","Alaska",0.033,7051724000,5246955000,0.08,490667000,0.0362,0.1288,0.35024,-2191000,433863310,-436054310
"73",2016,"Alaska Teachers Retirement System (TRS)*","Alaska",-0.0036,7159788000,4942201000,0.08,473734000,0.0362,0.1521,0.40633,-1883000,446083780,-447966780
"74",2017,"Alaska Teachers Retirement System (TRS)*","Alaska",0.1336,7217525000,5312295000,0.08,449629000,0.0362,0.1525,0.42986,-2378000,455499440,-457877440
"75",2018,"Alaska Teachers Retirement System (TRS)*","Alaska",0.0962,7276290000,5472727000,0.0738,425841000,0.03,0.1463,2.02772,-2084000,470498280,-472582280
"76",2019,"Alaska Teachers Retirement System (TRS)*","Alaska",0.0639,7276290000,5511929000,0.0738,392609000,NA,0.1463,2.02772,-2303000,470498280,-472801280
"77",2001,"Arizona Corrections Officers Retirement Plan (CORP)*","Arizona",-0.1707,554386854,683192443,0.09,339782697,0,0.14315,0.10235,-14609539,13446069,-28055608
"78",2002,"Arizona Corrections Officers Retirement Plan (CORP)*","Arizona",-0.1473,632237814,586328473,0.09,330427800,0,0.15728,0.12888,-14271104,17660064,-31931168
"79",2003,"Arizona Corrections Officers Retirement Plan (CORP)*","Arizona",0.0615,709297998,622938516,0.09,358160933,0,0.14209,0.12539,-16022697,21653043,-37675740
"80",2004,"Arizona Corrections Officers Retirement Plan (CORP)*","Arizona",0.1477,795774862,719235234,0.0875,381942220,0,0.1455,0.1397,-14053002,26261143,-40314145
"81",2005,"Arizona Corrections Officers Retirement Plan (CORP)*","Arizona",0.0923,906025039,788873785,0.085,404155903,0,0.1503,0.1551,-16652638,31329225,-47981863
"82",2006,"Arizona Corrections Officers Retirement Plan (CORP)*","Arizona",0.0817,981207708,861782725,0.085,437743658,0,0.1403,0.1468,-15741460,37272184,-53013644
"83",2007,"Arizona Corrections Officers Retirement Plan (CORP)*","Arizona",0.1677,1110801013,1012937536,0.085,515427641,0,0.1506,0.1661,-16634320,42666000,-59300320
"84",2008,"Arizona Corrections Officers Retirement Plan (CORP)*","Arizona",-0.0705,1336662478,1141587845,0.085,642621478,0.055,0.1408,0.1506,-16211929,51062648,-67274577
"85",2009,"Arizona Corrections Officers Retirement Plan (CORP)*","Arizona",-0.1799,1515562589,961016116,0.085,630824994,0.055,0.1423,0.1583,-14879341,59089590,-73968931
"86",2010,"Arizona Corrections Officers Retirement Plan (CORP)*","Arizona",0.1347,1648733153,1112789303,0.085,616481375,0.055,0.1445,0.1668,-19774873,69769055,-89543928
"87",2011,"Arizona Corrections Officers Retirement Plan (CORP)*","Arizona",0.1737,1914464397,1303797792,0.0825,609243354,0.05,0.1446,0.1847,-24927660,81637648,-106565308
"88",2012,"Arizona Corrections Officers Retirement Plan (CORP)*","Arizona",-0.0079,2140662415,1286978947,0.08,626233066,0.05,0.1557,0.2098,-25743514,87918352,-113661866
"89",2013,"Arizona Corrections Officers Retirement Plan (CORP)*","Arizona",0.1064,2330238000,1409580021,0.0785,604068000,0.045,0.1518,0.2163,-31179499,96465578,-127645077
"90",2014,"Arizona Corrections Officers Retirement Plan (CORP)*","Arizona",0.1328,2637545000,1179725924,0.0785,625264000,0.04,0.1495,0.2639,-29131822,107562140,-136693962
"91",2015,"Arizona Corrections Officers Retirement Plan (CORP)*","Arizona",0.0368,2740236000,1205559015,0.0785,616267000,0.04,0.1481,0.2692,-26757384,116217260,-142974644
"92",2016,"Arizona Corrections Officers Retirement Plan (CORP)*","Arizona",0.0063,2930678000,1210095975,0.075,599319000,0.04,0.1552,0.2917,-28990424,126624430,-155614854
"93",2017,"Arizona Corrections Officers Retirement Plan (CORP)*","Arizona",0.1185,3624379882,1353329947,0.074,619985000,0.035,0.1616,0.3718,-26093328,139611690,-165705018
"94",2018,"Arizona Corrections Officers Retirement Plan (CORP)*","Arizona",0.0707,3506083000,1439581000,0.074,619270000,0.035,0.1608,0.36,-25925000,148274950,-174199950
"95",2019,"Arizona Corrections Officers Retirement Plan (CORP)*","Arizona",0.0545,3884070116,1539625000,0.073,547363066,NA,0.15108,0.39136,-28530000,160313590,-188843590
"96",2001,"Arizona EORP","Arizona",NA,250987,326159.46,NA,NA,NA,NA,NA,0,NA,NA
"97",2002,"Arizona EORP","Arizona",NA,279947,265566.71,NA,NA,NA,NA,NA,0,NA,NA
"98",2003,"Arizona EORP","Arizona",NA,297892,269610.6,NA,NA,NA,NA,NA,0,NA,NA
"99",2004,"Arizona EORP","Arizona",NA,328921,295932.09,NA,NA,NA,NA,NA,0,NA,NA
"100",2005,"Arizona EORP","Arizona",NA,360758,311203.37,NA,NA,NA,NA,NA,0,NA,NA
"101",2006,"Arizona EORP","Arizona",NA,391403,327151.92,NA,NA,NA,NA,NA,0,NA,NA
"102",2007,"Arizona EORP","Arizona",NA,451299,369840.65,NA,NA,NA,NA,NA,0,NA,NA
"103",2008,"Arizona EORP","Arizona",NA,454340,332065.25,NA,NA,NA,NA,NA,0,NA,NA
"104",2009,"Arizona EORP","Arizona",NA,506190.63,258333.11,NA,NA,NA,NA,NA,0,NA,NA
"105",2010,"Arizona EORP","Arizona",NA,535770.58,279543.82,NA,NA,NA,NA,NA,0,NA,NA
"106",2011,"Arizona EORP","Arizona",NA,590321.51,315016.66,NA,NA,NA,NA,NA,0,NA,NA
"107",2012,"Arizona EORP","Arizona",NA,610228.77,296954.98,NA,NA,NA,NA,NA,0,NA,NA
"108",2013,"Arizona EORP","Arizona",NA,620890.5,292528.32,NA,NA,NA,NA,NA,0,NA,NA
"109",2014,"Arizona EORP","Arizona",NA,796245.54,314304.31,NA,NA,NA,NA,NA,0,NA,NA
"110",2015,"Arizona EORP","Arizona",NA,813450.36,308668.42,NA,NA,NA,NA,NA,0,NA,NA
"111",2016,"Arizona EORP","Arizona",NA,837478.37,288995,NA,NA,NA,NA,NA,0,NA,NA
"112",2017,"Arizona EORP","Arizona",NA,1011953.52,298118.14,NA,NA,NA,NA,NA,0,NA,NA
"113",2018,"Arizona EORP","Arizona",NA,904884.33,274746.49,0.07,NA,NA,NA,NA,0,NA,NA
"114",2019,"Arizona EORP","Arizona",0.05,949242,286064.8,0.07,70701.95,0.04,0.27,0.68,0,-65124.06,65124.06
"115",2001,"Arizona Public Safety Personnel Retirement System (PSPRS)*","Arizona",-0.1686,3674758000,4422062255,0.09,826740000,0.065,0.1886,0.114,-6051785,170281580,-176333365
"116",2002,"Arizona Public Safety Personnel Retirement System (PSPRS)*","Arizona",-0.1507,4144211000,3696318236,0.09,854249000,0.065,0.1926,0.1531,-6057924,215378950,-221436874
"117",2003,"Arizona Public Safety Personnel Retirement System (PSPRS)*","Arizona",0.0667,4739613000,3832538098,0.09,881285000,0.065,0.1797,0.177,-6422965,256503020,-262925985
"118",2004,"Arizona Public Safety Personnel Retirement System (PSPRS)*","Arizona",0.1497,5167333000,4309735073,0.0875,911718000,0.0625,0.1794,0.2045,-6390643,286346220,-292736863
"119",2005,"Arizona Public Safety Personnel Retirement System (PSPRS)*","Arizona",0.0911,5951937000,4608041889,0.085,974863000,0.06,0.1836,0.2474,-7647443,317771560,-325419003
"120",2006,"Arizona Public Safety Personnel Retirement System (PSPRS)*","Arizona",0.083,6495012333,4906398526,0.085,1073685222,0.055,0.1773,0.2417,-7225720,353932940,-361158660
"121",2007,"Arizona Public Safety Personnel Retirement System (PSPRS)*","Arizona",0.1705,7268291485,5531793708,0.085,1228037467,0.055,0.1998,0.2936,-8708528,375472190,-384180718
"122",2008,"Arizona Public Safety Personnel Retirement System (PSPRS)*","Arizona",-0.0727,7405397175,5019280698,0.085,1383332020,0.055,0.1945,0.2842,-7884695,404386280,-412270975
"123",2009,"Arizona Public Safety Personnel Retirement System (PSPRS)*","Arizona",-0.1773,7778394070,4115701122,0.085,1415642509,0.055,0.1916,0.2725,-7643202,435480440,-443123642
"124",2010,"Arizona Public Safety Personnel Retirement System (PSPRS)*","Arizona",0.1347,8255185021,4585863403,0.085,1400543761,0.055,0.1925,0.2891,-9975440,472656970,-482632410
"125",2011,"Arizona Public Safety Personnel Retirement System (PSPRS)*","Arizona",0.1737,9094447076,5216642852,0.0825,1325349817,0.05,0.1988,0.3335,-11976416,541794000,-553770416
"126",2012,"Arizona Public Safety Personnel Retirement System (PSPRS)*","Arizona",-0.0079,10054752250,5055828047,0.08,1349251544,0.05,0.2069,0.367,-12376688,578216440,-590593128
"127",2013,"Arizona Public Safety Personnel Retirement System (PSPRS)*","Arizona",0.1064,10544353313,5277869004,0.0785,1370609327,0.045,0.202,0.3868,-12819713,597303310,-610123023
"128",2014,"Arizona Public Safety Personnel Retirement System (PSPRS)*","Arizona",0.1328,12233016817,5935524128,0.0785,1390346174,0.04,0.2005,0.4873,-14434714,643254250,-657688964
"129",2015,"Arizona Public Safety Personnel Retirement System (PSPRS)*","Arizona",0.0368,12685800419,6075768720,0.0785,1401178245,0.04,0.1989,0.5001,-13897612,680234690,-694132302
"130",2016,"Arizona Public Safety Personnel Retirement System (PSPRS)*","Arizona",0.0063,14248709595,6042477418,0.075,1448215223,0.04,0.2381,0.5949,-17427012,710042560,-727469572
"131",2017,"Arizona Public Safety Personnel Retirement System (PSPRS)*","Arizona",0.1185,15578700116,6841326541,0.0715,1500335000,0.039,0.2234,0.5958,-17579621,749220560,-766800181
"132",2018,"Arizona Public Safety Personnel Retirement System (PSPRS)*","Arizona",0.0707,16278788000,7289130000,0.074,1487787000,0.035,0.22241,0.58895,-15242000,802343060,-817585060
"133",2019,"Arizona Public Safety Personnel Retirement System (PSPRS)*","Arizona",0.0545,17409057797,7829913000,0.073,1523270255,NA,0.22053,0.59089,-15633000,NA,NA
"134",2001,"Arizona State Retirement System (ASRS)*","Arizona",-0.067,1.9012e+10,20820944803,0.08,6356698800,0,0.1035,0.0632,-98535274,0,-98535274
"135",2002,"Arizona State Retirement System (ASRS)*","Arizona",-0.082,2.1285e+10,17821982950,0.08,6989339000,0,0.108,0.093,-42765105,0,-42765105
"136",2003,"Arizona State Retirement System (ASRS)*","Arizona",0.024,2.2935e+10,17418714877,0.08,7296827756,0,0.1186,0.1275,-35976000,0,-35976000
"137",2004,"Arizona State Retirement System (ASRS)*","Arizona",0.175,2.4506e+10,19940524999,0.08,7485590038,0,0.1188,0.1436,-36212000,0,-36212000
"138",2005,"Arizona State Retirement System (ASRS)*","Arizona",0.085,2.6486e+10,21029394547,0.08,8032457947,0,0.1208,0.1632,-44164000,0,-44164000
"139",2006,"Arizona State Retirement System (ASRS)*","Arizona",0.098,2.8192e+10,22671365333,0.08,8311869615,0,0.1236,0.1715,-60313000,0,-60313000
"140",2007,"Arizona State Retirement System (ASRS)*","Arizona",0.178,3.039e+10,26476068259,0.08,9161803726,0,0.1197,0.1694,-77910000,0,-77910000
"141",2008,"Arizona State Retirement System (ASRS)*","Arizona",-0.076,3.2425e+10,24208124045,0.08,9708352896,0,0.1224,0.1734,-104387000,0,-104387000
"142",2009,"Arizona State Retirement System (ASRS)*","Arizona",-0.181,3.429e+10,19506243433,0.08,9834810345,0,0.1239,0.1861,-120689000,0,-120689000
"143",2010,"Arizona State Retirement System (ASRS)*","Arizona",0.1491,3.6073e+10,21779421537,0.08,9419951810,0,0.127,0.2037,-154144000,0,-154144000
"144",2011,"Arizona State Retirement System (ASRS)*","Arizona",0.246,3.7051e+10,26440256592,0.08,9060630604,0,0.1269,0.2115,-180719000,0,-180719000
"145",2012,"Arizona State Retirement System (ASRS)*","Arizona",0.013,3.845e+10,26047713626,0.08,8868678184,0,0.1293,0.2195,-207289000,0,-207289000
"146",2013,"Arizona State Retirement System (ASRS)*","Arizona",0.131,3.9912e+10,28677043323,0.08,8752783004,0,0.1286,0.2237,-218607000,0,-218607000
"147",2014,"Arizona State Retirement System (ASRS)*","Arizona",0.186,4.1349e+10,33337146512,0.08,8908620792,0,0.139,0.2237,-246201000,0,-246201000
"148",2015,"Arizona State Retirement System (ASRS)*","Arizona",0.032,4.2968e+10,33329078636,0.08,9072376682,0.03,0.1385,0.2267,-255606000,0,-255606000
"149",2016,"Arizona State Retirement System (ASRS)*","Arizona",0.006,44535007068,34292592169,0.08,9125089000,0.03,0.1363,0.2268,-258315000,0,-258315000
"150",2017,"Arizona State Retirement System (ASRS)*","Arizona",0.139,50618760912,37783302345,0.075,9518309000,0.027,0.1547,0.2328,-249547000,0,-249547000
"151",2018,"Arizona State Retirement System (ASRS)*","Arizona",0.094,54236831000,40166794468,0.075,9921214513,0.025,0.1491,0.2388,-259358000,NA,NA
"152",2019,"Arizona State Retirement System (ASRS)*","Arizona",0.066,56127566734,41556800159,0.075,10340300426,NA,0.1473,0.2408,-261975000,NA,NA
"153",2001,"Arkansas Public Employees System (APERS)*","Arkansas",-0.0382,4.111e+09,4014116417,0.08,1.07e+09,0,0,0,-369060,1.5e+08,-150369060
"154",2002,"Arkansas Public Employees System (APERS)*","Arkansas",-0.0574,4.398e+09,3740821354,0.08,1.112e+09,0,0.1042,0.1002,-805155,167600000,-168405155
"155",2003,"Arkansas Public Employees System (APERS)*","Arkansas",0.0553,4.674e+09,3882663393,0.08,1.148e+09,0,0.0996,0.1111,-678143,1.86e+08,-186678143
"156",2004,"Arkansas Public Employees System (APERS)*","Arkansas",0.134,5.005e+09,4306846042,0.08,1.176e+09,0,0.0999,0.1255,-374972,203400000,-203774972
"157",2005,"Arkansas Public Employees System (APERS)*","Arkansas",0.0985,5.323e+09,4640777983,0.08,1.215e+09,0,0.1115,0.1754,-526398,232900000,-233426398
"158",2006,"Arkansas Public Employees System (APERS)*","Arkansas",0.1224,5.936e+09,5135503145,0.08,1.267e+09,0,0.1205,0.1754,-62133,254700000,-254762133
"159",2007,"Arkansas Public Employees System (APERS)*","Arkansas",0.1801,6.174e+09,5970244053,0.08,1.303e+09,0,0.1217,0.1601,-632790,274800000,-275432790
"160",2008,"Arkansas Public Employees System (APERS)*","Arkansas",-0.0445,6.543e+09,5638451921,0.08,1.38e+09,0,0.1158,0.16,-1919767,2.97e+08,-298919767
"161",2009,"Arkansas Public Employees System (APERS)*","Arkansas",-0.2089,6.938e+09,4349812685,0.08,1.434e+09,0,0.117,0.1746,-2661289,323100000,-325761289
"162",2010,"Arkansas Public Employees System (APERS)*","Arkansas",0.1195,7.304e+09,4728500376,0.08,1.523e+09,0,0.1171,0.1847,-3586861,342200000,-345786861
"163",2011,"Arkansas Public Employees System (APERS)*","Arkansas",0.26,7.734e+09,5801921116,0.08,1.623e+09,0,0.1166,0.1924,-6123910,375700000,-381823910
"164",2012,"Arkansas Public Employees System (APERS)*","Arkansas",-0.0033,8.163e+09,5692415862,0.08,1.686e+09,0,0.1166,0.1988,-7420785,399500000,-406920785
"165",2013,"Arkansas Public Employees System (APERS)*","Arkansas",0.1558,8.284e+09,6434470500,0.08,1.693e+09,0,0.0989,0.175,-8446701,426200000,-434646701
"166",2014,"Arkansas Public Employees System (APERS)*","Arkansas",0.1968,8.864e+09,7531189627,0.0775,1.745e+09,0,0.1026,0.1743,-9455348,457100000,-466555348
"167",2015,"Arkansas Public Employees System (APERS)*","Arkansas",0.0245,9.295e+09,7549993238,0.075,1.645e+09,0,0.1073,0.1762,-12195637,483900000,-496095637
"168",2016,"Arkansas Public Employees System (APERS)*","Arkansas",0.003,9.663e+09,7370324320,0.075,1686500000,0,0.108,0.1804,-13188729,509700000,-522888729
"169",2017,"Arkansas Public Employees System (APERS)*","Arkansas",0.123,1.051e+10,8028796790,0.0715,1668800000,0.0325,0.1163,0.1879,-13755408,540100000,-553855408
